FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100208;0100;0,5;;;
100208;0200;0,3;;;
100208;0300;0,4;;;
100208;0400;0,3;;;
100208;0500;0,5;;;
100208;0600;0,7;;;
100208;0700;0,799996;;;
100208;0800;0,4;;;
100208;0900;0,4;;;
100208;1000;0,3;;;
100208;1100;0,4;;;
100208;1200;0,2;;;
100208;1300;0,0999998;;;
100208;1400;0,0999998;;;
100208;1500;0,0999998;;;
100208;1600;0,0999998;;;
100208;1700;0,2;;;
100208;1800;0,2;;;
100208;1900;0,3;;;
100208;2000;0,4;;;
100208;2100;0,799996;;;
100208;2200;1,3;;;
100208;2300;1,1;;;
100209;0000;0,9;;;
100209;0100;0,599998;;;
100209;0200;0,4;;;
100209;0300;0,4;;;
100209;0400;0,3;;;
100209;0500;0,4;;;
100209;0600;0,9;;;
100209;0700;0,799996;;;
100209;0800;0,5;;;
100209;0900;0,5;;;
100209;1000;0,4;;;
100209;1100;0,4;;;
100209;1200;0,2;;;
100209;1300;0,2;;;
100209;1400;0,2;;;
100209;1500;0,2;;;
100209;1600;0,2;;;
100209;1700;0,2;;;
100209;1800;0,3;;;
100209;1900;0,3;;;
100209;2000;0,4;;;
100209;2100;0,5;;;
100209;2200;0,5;;;
100209;2300;0,7;;;
100210;0000;0,599998;;;
100210;0100;0,599998;;;
100210;0200;0,4;;;
100210;0300;0,4;;;
100210;0400;0,4;;;
100210;0500;0,5;;;
100210;0600;0,9;;;
100210;0700;1,1;;;
100210;0800;0,5;;;
100210;0900;0,4;;;
100210;1000;0,5;;;
100210;1100;0,4;;;
100210;1200;0,4;;;
100210;1300;0,2;;;
100210;1400;0,2;;;
100210;1500;0,2;;;
100210;1600;0,2;;;
100210;1700;0,3;;;
100210;1800;0,3;;;
100210;1900;0,3;;;
100210;2000;0,3;;;
100210;2100;0,4;;;
100210;2200;0,3;;;
100210;2300;0,3;;;
100211;0000;0,3;;;
100211;0100;0,3;;;
100211;0200;0,3;;;
100211;0300;0,4;;;
100211;0400;0,3;;;
100211;0500;0,4;;;
100211;0600;0,7;;;
100211;0700;1;;;
100211;0800;0,599998;;;
100211;0900;0,4;;;
100211;1000;0,4;;;
100211;1100;0,2;;;
100211;1200;0,3;;;
100211;1300;0,2;;;
100211;1400;0,2;;;
100211;1500;0,2;;;
100211;1600;0,3;;;
100211;1700;0,3;;;
100211;1800;0,3;;;
100211;1900;0,3;;;
100211;2000;0,3;;;
100211;2100;0,4;;;
100211;2200;0,599998;;;
100211;2300;0,599998;;;
100212;0000;0,599998;;;
100212;0100;0,599998;;;
100212;0200;0,599998;;;
100212;0300;0,599998;;;
100212;0400;0,5;;;
100212;0500;0,4;;;
100212;0600;0,5;;;
100212;0700;0,7;;;
100212;0800;0,4;;;
100212;0900;0,4;;;
100212;1000;0,4;;;
100212;1100;0,4;;;
100212;1200;0,4;;;
100212;1300;0,4;;;
100212;1400;0,3;;;
100212;1500;0,3;;;
100212;1600;0,3;;;
100212;1700;0,3;;;
100212;1800;0,3;;;
100212;1900;0,4;;;
100212;2000;0,5;;;
100212;2100;0,5;;;
100212;2200;0,599998;;;
100212;2300;0,799996;;;
100213;0000;1;;;
100213;0100;0,799996;;;
100213;0200;0,9;;;
100213;0300;0,799996;;;
100213;0400;0,799996;;;
100213;0500;0,9;;;
100213;0600;0,799996;;;
100213;0700;0,799996;;;
100213;0800;0,599998;;;
100213;0900;0,799996;;;
