FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100216;0700;6;;;
100216;0800;15;;;
100216;0900;24;;;
100216;1000;39;;;
100216;1100;53;;;
100216;1200;79;;;
100216;1300;68;;;
100216;1400;60;;;
100216;1500;54;;;
100216;1600;42;;;
100216;1700;34;;;
100216;1800;26;;;
100216;1900;18;;;
100216;2000;21;;;
100216;2100;16;;;
100216;2200;11;;;
100216;2300;6;;;
100217;0000;5;;;
100217;0100;4;;;
100217;0200;5;;;
100217;0300;4;;;
100217;0400;4;;;
100217;0500;4;;;
100217;0600;4;;;
100217;0700;6;;;
100217;0800;19;;;
100217;0900;22;;;
100217;1000;33;;;
100217;1100;47;;;
100217;1200;55;;;
100217;1300;67;;;
100217;1400;63;;;
100217;1500;48;;;
100217;1600;38;;;
100217;1700;39;;;
100217;1800;28;;;
100217;1900;17;;;
100217;2000;16;;;
100217;2100;11;;;
100217;2200;4;;;
100217;2300;4;;;
100218;0000;3;;;
100218;0100;3;;;
100218;0200;4;;;
100218;0300;4;;;
100218;0400;3;;;
100218;0500;3;;;
100218;0600;4;;;
100218;0700;5;;;
100218;0800;11;;;
100218;0900;19;;;
100218;1000;29;;;
100218;1100;40;;;
100218;1200;47;;;
100218;1300;44;;;
100218;1400;44;;;
100218;1500;45;;;
100218;1600;43;;;
100218;1700;38;;;
100218;1800;23;;;
100218;1900;13;;;
100218;2000;8;;;
100218;2100;6;;;
100218;2200;5;;;
100218;2300;7;;;
100219;0000;10;;;
100219;0100;11;;;
100219;0200;7;;;
100219;0300;5;;;
100219;0400;4;;;
100219;0500;3;;;
100219;0600;4;;;
100219;0700;5;;;
100219;0800;9;;;
100219;0900;17;;;
100219;1000;29;;;
100219;1100;43;;;
100219;1200;47;;;
100219;1300;55;;;
100219;1400;60;;;
100219;1500;60;;;
100219;1600;52;;;
100219;1700;44;;;
100219;1800;35;;;
100219;1900;19;;;
100219;2000;4;;;
100219;2100;4;;;
100219;2200;3;;;
100219;2300;3;;;
100220;0000;4;;;
100220;0100;3;;;
100220;0200;4;;;
100220;0300;4;;;
100220;0400;4;;;
100220;0500;4;;;
100220;0600;4;;;
100220;0700;5;;;
100220;0800;11;;;
100220;0900;25;;;
100220;1000;40;;;
100220;1100;63;;;
100220;1200;77;;;
100220;1300;76;;;
100220;1400;76;;;
100220;1500;68;;;
100220;1600;59;;;
100220;1700;54;;;
100220;1800;43;;;
100220;1900;33;;;
100220;2000;17;;;
100220;2100;12;;;
100220;2200;9;;;
100220;2300;6;;;
100221;0000;5;;;
100221;0100;4;;;
100221;0200;4;;;
100221;0300;4;;;
100221;0400;4;;;
100221;0500;4;;;
100221;0600;4;;;
100221;0700;7;;;
100221;0800;18;;;
100221;0900;30;;;
100221;1000;40;;;
100221;1100;53;;;
100221;1200;58;;;
100221;1300;60;;;
100221;1400;53;;;
100221;1500;49;;;
100221;1600;44;;;
100221;1700;39;;;
