FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100125;0400;22;;;
100125;0500;24;;;
100125;0600;32;;;
100125;0700;32;;;
100125;0800;36;;;
100125;0900;36;;;
100125;1000;38;;;
100125;1100;40;;;
100125;1200;34;;;
100125;1300;40;;;
100125;1400;36;;;
100125;1500;28;;;
100125;1600;27;;;
100125;1700;21;;;
100125;1800;23;;;
100125;1900;17;;;
100125;2000;16;;;
100125;2100;20;;;
100125;2200;14;;;
100125;2300;18;;;
100126;0000;20;;;
100126;0100;14;;;
100126;0200;13;;;
100126;0300;23;;;
100126;0400;18;;;
100126;0500;23;;;
100126;0600;23;;;
100126;0700;28;;;
100126;0800;30;;;
100126;0900;32;;;
100126;1000;30;;;
100126;1100;35;;;
100126;1200;27;;;
100126;1300;23;;;
100126;1400;23;;;
100126;1500;27;;;
100126;1600;19;;;
100126;1700;19;;;
100126;1800;16;;;
100126;1900;15;;;
100126;2000;18;;;
100126;2100;19;;;
100126;2200;16;;;
100126;2300;19;;;
100127;0000;21;;;
100127;0100;19;;;
100127;0200;17;;;
100127;0300;19;;;
100127;0400;20;;;
100127;0500;20;;;
100127;0600;27;;;
100127;0700;32;;;
100127;0800;24;;;
100127;0900;36;;;
100127;1000;33;;;
100127;1100;35;;;
100127;1200;51;;;
100127;1300;51;;;
100127;1400;35;;;
100127;1500;27;;;
100127;1600;34;;;
100127;1700;25;;;
100127;1800;22;;;
100127;1900;18;;;
100127;2000;13;;;
100127;2100;14;;;
100127;2200;13;;;
100127;2300;15;;;
100128;0000;18;;;
100128;0100;19;;;
100128;0200;15;;;
100128;0300;18;;;
100128;0400;20;;;
100128;0500;23;;;
100128;0600;26;;;
100128;0700;38;;;
100128;0800;26;;;
100128;0900;60;;;
100128;1000;59;;;
100128;1100;73;;;
100128;1200;44;;;
100128;1300;25;;;
100128;1400;21;;;
100128;1500;31;;;
100128;1600;24;;;
100128;1700;19;;;
100128;1800;21;;;
100128;1900;15;;;
100128;2000;20;;;
100128;2100;20;;;
100128;2200;24;;;
100128;2300;26;;;
100129;0000;21;;;
100129;0100;23;;;
100129;0200;20;;;
100129;0300;22;;;
100129;0400;20;;;
100129;0500;20;;;
100129;0600;23;;;
100129;0700;29;;;
100129;0800;24;;;
100129;0900;27;;;
100129;1000;27;;;
100129;1100;23;;;
100129;1200;15;;;
100129;1300;10;;;
100129;1400;18;;;
100129;1500;21;;;
100129;1600;21;;;
100129;1700;28;;;
100129;1800;18;;;
100129;1900;18;;;
100129;2000;13;;;
100129;2100;15;;;
100129;2200;17;;;
100129;2300;16;;;
100130;0000;12;;;
100130;0100;17;;;
100130;0200;21;;;
100130;0300;15;;;
100130;0400;18;;;
100130;0500;23;;;
100130;0600;27;;;
100130;0700;22;;;
100130;0800;26;;;
100130;0900;26;;;
100130;1000;25;;;
100130;1100;29;;;
