O3,CO,PM25,NOX
71.0,0.5,34.0,18.0
88.0,0.5,38.0,11.0
62.0,0.3,31.0,7.0
65.0,0.3,30.0,6.0
55.0,0.3,26.0,5.0
53.0,0.3,22.0,5.0
58.0,0.4,32.0,5.0
42.0,0.4,30.0,8.0
32.0,0.3,16.0,9.0
22.0,0.3,9.0,13.0
15.0,0.4,20.0,17.0
6.0,0.5,19.0,25.0
4.0,0.599998,14.0,27.0
7.0,0.4,9.0,17.0
5.0,0.4,9.0,17.0
5.0,0.4,11.0,17.0
5.0,0.3,11.0,12.0
5.0,0.3,14.0,15.0
4.0,0.4,15.0,28.0
4.0,0.5,20.0,40.0
5.0,0.599998,23.0,51.0
8.0,0.599998,25.0,48.0
12.0,0.7,24.0,50.0
22.0,0.5,18.0,28.0
23.0,0.5,30.0,27.0
20.0,0.3,17.0,16.0
19.0,0.3,13.0,14.0
22.0,0.3,11.0,16.0
26.0,0.4,18.0,22.0
38.0,0.3,26.0,11.0
47.0,0.3,20.0,9.0
45.0,0.3,18.0,9.0
29.0,0.4,16.0,14.0
14.0,0.5,20.0,25.0
4.0,0.7,19.0,40.0
6.0,0.7,17.0,33.0
4.0,0.599998,12.0,33.0
4.0,0.5,16.0,29.0
6.0,0.4,12.0,23.0
4.0,0.5,11.0,28.0
4.0,0.5,15.0,29.0
4.0,0.5,17.0,31.0
4.0,0.599998,18.0,45.0
4.0,1.0,24.0,76.0
6.0,1.1,32.0,94.0
16.0,0.9,34.0,58.0
29.0,0.7,30.0,46.0
41.0,0.5,31.0,38.0
71.0,0.5,42.0,32.0
64.0,0.3,18.0,11.0
57.0,0.3,25.0,6.0
55.0,0.2,16.0,5.0
52.0,0.2,25.0,6.0
54.0,0.2,30.0,6.0
53.0,0.3,22.0,8.0
47.0,0.3,18.0,11.0
28.0,0.4,15.0,20.0
19.0,0.4,22.0,26.0
5.0,0.799996,31.0,53.0
4.0,0.9,28.0,59.0
4.0,0.9,29.0,62.0
4.0,0.9,26.0,55.0
4.0,0.5,20.0,29.0
7.0,0.4,17.0,21.0
5.0,0.5,17.0,24.0
6.0,0.4,16.0,24.0
4.0,0.5,18.0,38.0
4.0,1.1,26.0,90.0
10.0,1.1,29.0,77.0
21.0,0.599998,26.0,40.0
36.0,0.5,24.0,27.0
51.0,0.5,25.0,26.0
75.0,0.5,32.0,25.0
79.0,0.3,20.0,11.0
71.0,0.3,17.0,7.0
60.0,0.2,14.0,6.0
64.0,0.2,13.0,6.0
56.0,0.2,10.0,4.0
63.0,0.3,27.0,7.0
50.0,0.3,13.0,10.0
32.0,0.5,51.0,21.0
7.0,1.2,62.0,69.0
5.0,1.9,45.0,124.0
5.0,2.0,44.0,137.0
4.0,1.2,28.0,71.0
5.0,1.2,27.0,71.0
4.0,0.7,27.0,39.0
5.0,0.7,25.0,33.0
4.0,0.599998,21.0,29.0
7.0,0.599998,25.0,25.0
4.0,0.7,29.0,51.0
5.0,1.2,37.0,103.0
8.0,1.2,44.0,81.0
24.0,0.7,36.0,40.0
34.0,0.799996,35.0,48.0
59.0,0.5,27.0,32.0
75.0,0.4,36.0,17.0
77.0,0.3,31.0,9.0
76.0,0.4,30.0,8.0
76.0,0.4,33.0,7.0
73.0,0.4,33.0,8.0
73.0,0.4,37.0,8.0
57.0,0.4,34.0,14.0
42.0,0.4,26.0,16.0
29.0,0.5,26.0,20.0
19.0,0.5,27.0,24.0
9.0,0.7,25.0,36.0
4.0,1.2,32.0,65.0
4.0,1.1,31.0,60.0
4.0,1.0,28.0,45.0
4.0,1.0,25.0,45.0
4.0,0.799996,23.0,34.0
4.0,0.7,25.0,45.0
4.0,0.799996,27.0,43.0
4.0,0.799996,29.0,43.0
4.0,1.3,34.0,102.0
7.0,1.2,52.0,90.0
19.0,0.799996,56.0,54.0
31.0,0.9,60.0,56.0
63.0,0.5,31.0,25.0
93.0,0.599998,47.0,28.0
84.0,0.4,27.0,11.0
72.0,0.4,26.0,8.0
65.0,0.3,20.0,7.0
63.0,0.3,21.0,7.0
59.0,0.3,21.0,7.0
55.0,0.3,19.0,8.0
44.0,0.4,17.0,9.0
25.0,0.5,21.0,19.0
11.0,0.599998,21.0,31.0
5.0,0.799996,45.0,40.0
5.0,0.9,30.0,46.0
4.0,1.0,25.0,52.0
4.0,1.0,26.0,49.0
4.0,1.1,31.0,57.0
4.0,1.0,32.0,46.0
4.0,1.0,30.0,40.0
4.0,0.7,24.0,36.0
4.0,0.599998,25.0,39.0
5.0,0.9,32.0,69.0
10.0,0.799996,37.0,64.0
22.0,0.5,34.0,39.0
40.0,0.5,34.0,34.0
55.0,0.4,61.0,26.0
70.0,0.2,31.0,11.0
65.0,0.2,48.0,9.0
53.0,0.2,39.0,6.0
53.0,0.2,56.0,4.0
52.0,0.2,33.0,4.0
50.0,0.2,28.0,5.0
46.0,0.2,28.0,5.0
39.0,0.2,26.0,7.0
33.0,0.2,22.0,7.0
27.0,0.2,19.0,10.0
21.0,0.3,23.0,14.0
16.0,0.4,21.0,18.0
11.0,0.4,21.0,22.0
9.0,0.4,18.0,22.0
6.0,0.5,19.0,23.0
4.0,0.5,20.0,27.0
7.0,0.5,30.0,18.0
7.0,0.5,29.0,21.0
4.0,0.5,27.0,31.0
5.0,0.7,30.0,42.0
11.0,0.599998,34.0,41.0
24.0,0.5,32.0,28.0
43.0,0.4,38.0,20.0
63.0,0.4,45.0,19.0
80.0,0.3,47.0,10.0
79.0,0.3,39.0,8.0
66.0,0.2,29.0,6.0
61.0,0.2,25.0,4.0
60.0,0.2,29.0,3.0
57.0,0.2,27.0,4.0
52.0,0.2,27.0,5.0
42.0,0.2,22.0,6.0
37.0,0.2,20.0,8.0
28.0,0.3,22.0,13.0
23.0,0.3,22.0,15.0
23.0,0.3,19.0,13.0
22.0,0.2,21.0,12.0
18.0,0.3,19.0,15.0
19.0,0.2,19.0,12.0
19.0,0.2,15.0,9.0
13.0,0.2,18.0,14.0
6.0,0.3,22.0,17.0
4.0,0.5,24.0,34.0
4.0,0.799996,32.0,70.0
10.0,0.599998,32.0,51.0
15.0,0.7,36.0,53.0
32.0,0.5,36.0,34.0
48.0,0.4,38.0,32.0
68.0,0.3,40.0,20.0
64.0,0.2,34.0,8.0
61.0,0.3,40.0,8.0
57.0,0.2,36.0,7.0
50.0,0.2,28.0,7.0
44.0,0.2,27.0,9.0
43.0,0.2,21.0,6.0
31.0,0.2,23.0,9.0
22.0,0.2,17.0,12.0
21.0,0.2,16.0,10.0
16.0,0.3,20.0,15.0
11.0,0.3,14.0,16.0
10.0,0.3,18.0,15.0
9.0,0.3,20.0,15.0
4.0,0.3,14.0,21.0
4.0,0.3,13.0,19.0
5.0,0.3,23.0,16.0
4.0,0.3,18.0,21.0
3.0,0.3,23.0,25.0
4.0,0.599998,23.0,56.0
7.0,0.599998,28.0,56.0
13.0,0.599998,30.0,42.0
21.0,0.5,32.0,36.0
39.0,0.4,30.0,28.0
63.0,0.3,35.0,19.0
57.0,0.2,27.0,8.0
54.0,0.2,23.0,6.0
56.0,0.2,23.0,6.0
52.0,0.2,27.0,7.0
51.0,0.2,19.0,6.0
45.0,0.2,19.0,7.0
34.0,0.3,16.0,13.0
20.0,0.3,15.0,17.0
12.0,0.3,18.0,22.0
8.0,0.4,19.0,23.0
8.0,0.4,16.0,25.0
4.0,0.5,19.0,32.0
4.0,0.5,21.0,34.0
4.0,0.5,19.0,28.0
4.0,0.5,17.0,29.0
4.0,0.5,19.0,37.0
4.0,0.5,20.0,36.0
4.0,0.5,20.0,46.0
4.0,0.799996,27.0,67.0
7.0,1.0,32.0,90.0
16.0,0.599998,24.0,49.0
34.0,0.4,36.0,26.0
52.0,0.5,33.0,32.0
68.0,0.5,35.0,31.0
97.0,0.4,51.0,24.0
108.0,0.3,51.0,12.0
90.0,0.2,35.0,8.0
78.0,0.2,27.0,6.0
68.0,0.2,34.0,9.0
54.0,0.3,25.0,12.0
42.0,0.3,22.0,13.0
30.0,0.3,18.0,13.0
22.0,0.3,13.0,14.0
15.0,0.3,14.0,16.0
8.0,0.5,13.0,25.0
10.0,0.4,15.0,20.0
8.0,0.4,18.0,21.0
6.0,0.4,19.0,24.0
4.0,0.4,15.0,23.0
5.0,0.4,18.0,24.0
4.0,0.4,20.0,26.0
5.0,0.7,23.0,63.0
4.0,0.9,26.0,95.0
7.0,0.9,38.0,83.0
18.0,0.599998,26.0,48.0
32.0,0.4,60.0,31.0
42.0,0.5,59.0,39.0
67.0,0.4,73.0,24.0
68.0,0.3,44.0,8.0
58.0,0.2,25.0,5.0
54.0,0.2,21.0,5.0
57.0,0.2,31.0,6.0
47.0,0.2,24.0,9.0
36.0,0.2,19.0,11.0
28.0,0.2,21.0,13.0
18.0,0.3,15.0,18.0
11.0,0.3,20.0,22.0
10.0,0.4,20.0,22.0
7.0,0.4,24.0,25.0
4.0,0.5,26.0,31.0
4.0,0.599998,21.0,36.0
4.0,0.599998,23.0,40.0
5.0,0.5,20.0,35.0
7.0,0.3,22.0,17.0
4.0,0.5,20.0,27.0
4.0,0.7,20.0,51.0
4.0,0.9,23.0,74.0
7.0,0.9,29.0,71.0
17.0,0.5,24.0,39.0
26.0,0.5,27.0,36.0
42.0,18.3754,27.0,29.0
57.0,0.3,23.0,15.0
53.0,0.0999998,15.0,7.0
51.0,0.0999998,10.0,5.0
54.0,0.0999998,18.0,4.0
54.0,0.0999998,21.0,5.0
46.0,0.0999998,21.0,5.0
38.0,0.2,28.0,10.0
24.0,0.2,18.0,14.0
14.0,0.3,18.0,19.0
8.0,0.3,13.0,22.0
4.0,0.5,15.0,34.0
3.0,0.5,17.0,41.0
3.0,0.5,16.0,39.0
3.0,0.5,12.0,36.0
4.0,0.599998,17.0,42.0
4.0,0.599998,21.0,40.0
4.0,0.7,15.0,50.0
4.0,0.599998,18.0,45.0
4.0,0.7,23.0,49.0
4.0,0.9,27.0,77.0
7.0,0.599998,22.0,54.0
16.0,0.5,26.0,41.0
25.0,0.4,26.0,35.0
